group,list,edad,sexo,estudios,word,cue,response,recall
Intencional,A,21,Hombre,5,HUESO,A,Desagradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,MIEL,S,2,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,RINOCERONTE,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,CAMA,S,2,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,TORNADO,S,3,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,SOL,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,TANQUE,S,2,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,VINO,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,MOSCA,S,2,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,LENTEJAS,S,3,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,FRIO,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,ELEFANTE,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,CHOCOLATE,S,4,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,PAZ,S,1,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,PRECIPICIO,A,Desagradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,BIKINI,S,3,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,MAR,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,COCODRILO,S,4,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,BUITRE,A,Desagradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,IGLESIA,S,3,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,VOLCAN,A,Desagradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,AVISPA,S,3,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,FLOR,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,ZAPATO,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,DELFIN,S,2,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,ENSALADA,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,TERREMOTO,S,4,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,GUSANO,A,Desagradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,FRESA,A,Agradable,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
Intencional,A,21,Hombre,5,DESIERTO,S,3,"Frio, sol, flor, elefante, zapatos, rinoceronte, volcan, fresa,terremoto, miel"
