group,list,edad,sexo,estudios,word,cue,response,recall
Incidental,B,22,Hombre,6,HUESO,S,2,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,MIEL,A,Agradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,RINOCERONTE,S,5+,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,CAMA,A,Agradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,TORNADO,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,SOL,S,1,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,TANQUE,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,VINO,S,2,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,MOSCA,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,LENTEJAS,A,Agradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,FRIO,S,2,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,ELEFANTE,S,4,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,CHOCOLATE,A,Agradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,PAZ,A,Agradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,PRECIPICIO,S,5+,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,BIKINI,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,MAR,S,1,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,COCODRILO,A,Agradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,BUITRE,S,3,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,IGLESIA,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,VOLCAN,S,2,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,AVISPA,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,FLOR,S,1,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,ZAPATO,S,3,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,DELFIN,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,ENSALADA,S,4,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,TERREMOTO,A,Desagradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,GUSANO,S,3,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,FRESA,S,2,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
Incidental,B,22,Hombre,6,DESIERTO,A,Agradable,"Tanque 
Cocodrilo 
Miel 
Paz
Sol
Delfín 
Elefante 
"
