group,list,edad,sexo,estudios,word,cue,response,recall
Incidental,A,23,Mujer,8,HUESO,A,Desagradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,MIEL,S,2,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,RINOCERONTE,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,CAMA,S,2,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,TORNADO,S,3,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,SOL,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,TANQUE,S,2,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,VINO,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,MOSCA,S,2,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,LENTEJAS,S,3,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,FRIO,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,ELEFANTE,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,CHOCOLATE,S,4,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,PAZ,S,1,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,PRECIPICIO,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,BIKINI,S,3,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,MAR,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,COCODRILO,S,4,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,BUITRE,A,Desagradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,IGLESIA,S,3,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,VOLCAN,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,AVISPA,S,3,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,FLOR,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,ZAPATO,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,DELFIN,S,2,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,ENSALADA,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,TERREMOTO,S,4,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,GUSANO,A,Desagradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,FRESA,A,Agradable,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
Incidental,A,23,Mujer,8,DESIERTO,S,3,SOL ZAPATO GUSANO TERREMOTO FLOR MAR RINOCERONTE PRECIPICIO MIEL BIKINI VASO
