group,list,edad,sexo,estudios,word,cue,response,recall
Intencional,B,52,Hombre,1,HUESO,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,MIEL,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,RINOCERONTE,S,5+,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,CAMA,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,TORNADO,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,SOL,S,1,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,TANQUE,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,VINO,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,MOSCA,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,LENTEJAS,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,FRIO,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,ELEFANTE,S,3,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,CHOCOLATE,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,PAZ,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,PRECIPICIO,S,4,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,BIKINI,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,MAR,S,1,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,COCODRILO,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,BUITRE,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,IGLESIA,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,VOLCAN,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,AVISPA,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,FLOR,S,1,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,ZAPATO,S,3,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,DELFIN,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,ENSALADA,S,4,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,TERREMOTO,A,Desagradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,GUSANO,S,3,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,FRESA,S,2,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
Intencional,B,52,Hombre,1,DESIERTO,A,Agradable,COCODRILO MIEL TERREMOTO DELFIN CAMA TANQUE DESIERTO IGLESIA FRIO LENTEJAS
